AphiaID,scientificnameaccepted
327985,Exogone naidina
334508,Phyllodoce lineata
334741,Scolelepis (Scolelepis) foliosa
423507,Medicorophium affine
465551,Hydrobia acuta neglecta
491631,Brachystomia
491633,Brachystomia scalaris
555935,Spirobranchus triqueter
607402,Hilbigneris gracilis
710680,Oxydromus flexuosus
730747,Aricidea (Aricidea) minuta
731235,Aricidea (Acmira) simonae
745846,Polititapes rhomboides
757970,Parexogone hebes
879714,Asbjornsenia pygmaea
1059646,Centraloecetes kroyeranus
1381415,Turritellinella tricarinata
103066,Bathyporeia pelagica
102275,Gammarus crinicornis
103073,Bathyporeia sarsi
117117,Hydractinia
118100,Chironomidae
120072,Mesopodopsis slabberi
129614,Malacoceros
100880,Edwardsia claparedii
101361,Caprellidae
1789,Phoronida
102460,Leucothoe incisa
107742,Upogebia stellata
125073,Amphiura chiajei
148592,Monocorophium insidiosum
130542,Myriochele heeri
130603,Pholoe minuta
103226,Urothoe brevicornis
140218,Lepton squamosum
130774,Harmothoe longisetis
139896,Vitreolina antiflexa
141908,Chamelea striatula
131500,Lysilla loveni
141912,Dosinia lupinus
152274,Nucula turgida
100782,Cerianthus
102932,Westwoodilla caecula
101982,Paramphilochoides odontonyx
130891,Chone infundibuliformis
137571,Tubificoides benedii
141134,Retusa obtusa
141909,Clausinella fasciata
130696,Glyphohesione klatti
134688,Nymphon grossipes
152276,Malmgrenia arenicolae
137604,Stereobalanus canadensis
336908,Glycera fallax
140528,Euspira catena
1398927,Gilvossius tyrrhenus
130613,Eteone flava
140108,Saxicavella jeffreysi
236495,Apolochus neapolitanus
607414,Pronucula tenuis
233,Solenidae
938,Aphroditidae
939,Polynoidae
101981,Paramphilochoides intermedius
107007,Crangon
107054,Processa
107393,Liocarcinus pusillus
123206,Amphiuridae
129595,Sthenelais
152267,Malmgrenia marphysae
1137,Cumacea
2853,Polycladida
103719,Ascidiella scabra
107322,Hyas araneus
122388,Tubulanus
123083,Holothuroidea
123776,Asterias rubens
128549,Phoronis muelleri
128551,Phoronis pallida
134599,Achelia echinata
137607,Glossobalanus marginatus
138963,Crepidula fornicata
150520,Nymphon brevirostre
151628,Peringia ulvae
239867,Pycnogonum litorale
876821,Tritia reticulata
102,Prosobranchia
558,Porifera
1066,Crustacea
1821,Chordata
100982,Metridium senile
106789,Pandalidae
106877,Corystes
106930,Portunus
107323,Hyas coarctatus
107344,Macropodia parva
107345,Macropodia rostrata
107651,Pandalus montagui
110358,Echiurus
111367,Flustra foliacea
124321,Strongylocentrotus droebachiensis
125230,Leptasterias (Leptasterias) muelleri muelleri
125999,Pomatoschistus
126417,Clupea harengus
126425,Sprattus sprattus
126436,Gadus morhua
126437,Melanogrammus aeglefinus
126438,Merlangius merlangus
126444,Trisopterus esmarkii
126450,Enchelyopus cimbrius
126505,Gasterosteus aculeatus
126751,Ammodytes marinus
126792,Callionymus lyra
126927,Pomatoschistus microps
126930,Pomatoschistus pictus
127123,Zoarces viviparus
127126,Arnoglossus laterna
127137,Hippoglossoides platessoides
127141,Platichthys flesus
127150,Scophthalmus rhombus
127153,Buglossidium luteum
127160,Solea solea
127190,Agonus cataphractus
127203,Myoxocephalus scorpius
137734,Cardium
138760,Aporrhais pespelecani
138920,Neptunea antiqua
146142,Bryozoa
165853,Halichondria (Halichondria) panicea
205077,Macropodia
293624,Liparis liparis liparis
2039,Naididae
100834,Urticina felina
102048,Microdeutopus gryllotalpa
102087,Corophium arenarium
102101,Corophium volutator
102281,Gammarus locusta
102748,Tryphosa nana
102843,Melita palmata
107275,Cancer bellianus
119050,Idotea pelagica
129775,Ampharete acutifrons
129781,Ampharete lindstroemi
129868,Arenicola marina
130174,Microphthalmus sczelkowii
131121,Dipolydora quadrilobata
131131,Malacoceros fuliginosus
131143,Polydora cornuta
131191,Streblospio benedicti
138999,Cerastoderma glaucum
140430,Mya arenaria
141138,Retusa truncatula
141424,Scrobicularia plana
152217,Chaetozone christiei
152302,Hediste diversicolor
234850,Alitta succinea
845991,Myrianida sanmartini
2,Animalia
924,Opheliidae
101383,Gammaridae
101417,Hyperiidae
102771,Tryphosella sarsi
107302,Ebalia tumefacta
1606,Campanulariidae
22496,Nereididae
100730,Edwardsia
921,Capitellidae
948,Syllidae
102164,Apherusa clevei
100927,Peachia cylindrica
107557,Philocheras bispinosus
102917,Pontocrates arcticus
102924,Synchelidium haplocheles
118235,Pseudione borealis
108343,Processa modica modica
111653,Triticella flava
118859,Natatolana borealis
122348,Cerebratulus
123219,Asterias
129626,Spiophanes
129851,Apistobranchus tullbergi
130272,Magelona papillicornis
107079,Upogebia
107690,Processa parva
118218,Ione thoracica
122478,Cerebratulus marginatus
122637,Tubulanus polymorphus
131160,Prionospio multibranchiata
130590,Pectinaria (Amphictene) auricoma
131074,Sthenelais boa
138648,Venus
131141,Polydora ciliata
131174,Scolelepis korsuni
138262,Nucula
140431,Mya truncata
130491,Ophelia borealis
131127,Laonice bahusiensis
131388,Sphaerosyllis hystrix
863197,Malmgrenia darbouxi
152233,Eusyllinae
136025,Phascolion
136486,Tanaissus lilljeborgi
137970,Eulima
129229,Chaetopterus
152397,Tellimya tenella
388029,Grania vikinga
129697,Lanice
771447,Astarte
130195,Podarkeopsis capensis
130649,Hesionura elongata
489646,Dyopedos monacanthus
146991,Leiochone
134741,Phoxichilidium femoratum
136063,Thysanocardia procera
141911,Dosinia exoleta
148378,Phoronidae
246148,Hemilepton nitidum
422916,Monopseudocuma gilsoni
596189,Spio symphyta
933783,Ensis directus
100681,Sagartiidae
106215,Balanus crenatus
107647,Pandalina brevirostris
111351,Conopeum reticulum
111411,Membranipora membranacea
