aphiaID,scientificName,n_events
130624,Eulalia bilineata,1168
2038,Enchytraeidae,1165
150534,Antalis entalis,1164
140467,Modiolus modiolus,1163
129439,Pholoe,1159
111361,Eucratea loricata,1156
129776,Ampharete baltica,1151
131129,Laonice sarsi,1151
234161,Axinulus croulinensis,1151
890057,Tritia nitida,1149
129218,Mediomastus,1148
129555,Scalibregma,1142
130198,Syllidia armata,1142
137570,Tubificoides amplivasatus,1140
130512,Travisia forbesii,1130
145108,Corallina officinalis,1130
103439,Didemnidae,1128
140870,Gari fervensis,1127
129792,Eclysippe vanelli,1120
123426,Echinocardium,1119
129341,Magelona,1117
531364,Animoceradocus semiserratus,1110
129455,Phyllodoce,1100
129769,Alkmaria romijni,1092
131513,Phisidia aurea,1091
111399,Hippothoa divaricata,1089
102972,Harpinia pectinata,1088
134121,Cliona celata,1088
131184,Spio goniocephala,1086
107301,Ebalia tuberosa,1084
213,Pectinidae,1083
140287,Myrtea spinifera,1081
712167,Austrominius modestus,1079
147123,Potamopyrgus antipodarum,1078
123613,Amphiura,1075
467108,Puellina (Cribrilaria) innominata,1072
118732,Janira maculosa,1060
196385,Polycirrus norvegicus,1059
107273,Atelecyclus rotundatus,1057
131334,Palposyllis prosostoma,1055
111032,Crisia,1054
140685,Patella vulgata,1054
117804,Phialella quadrata,1050
147021,Moerella donacina,1050
234483,Saccharina latissima,1050
111796,Pedicellina,1049
130145,Goniadella gracilis,1049
130967,Sabella pavonina,1045
145782,Plocamium cartilagineum,1043
156961,Petricolaria pholadiformis,1042
101025,Epizoanthus couchii,1037
118437,Gnathia,1037
165853,Halichondria (Halichondria) panicea,1033
107398,Necora puber,1029
107079,Upogebia,1028
130613,Eteone flava,1028
127143,Pleuronectes platessa,1027
141651,Thracia villosiuscula,1026
130579,Paradoneis armata,1020
102048,Microdeutopus gryllotalpa,1013
117233,Sertularella,1013
138339,Philine,1011
148592,Monocorophium insidiosum,1008
148603,Monocorophium sextonae,1008
131471,Amaeana trilobata,1005
139012,Parvicardium scabrum,1002
131288,Eurysyllis tuberculata,1000
111495,Escharella variolosa,996
102087,Corophium arenarium,992
106889,Ebalia,992
110481,Diastylis laevis,992
1135,Amphipoda,989
2039,Naididae,988
127139,Limanda limanda,988
110536,Eudorellopsis deformis,986
124394,Echinocardium flavescens,983
100991,Sagartia elegans,979
111186,Amphiblestrum auritum,978
101871,Pseudoprotella phasma,976
146932,Paraonis fulgens,970
131431,Syllis garciai,958
147026,Mysta picta,958
138992,Acanthocardia echinata,954
334510,Phyllodoce maculata,953
136021,Golfingia,950
129654,Exogone,949
130272,Magelona papillicornis,949
130044,Schistomeringos neglecta,947
884702,Kirkegaardia dorsobranchialis,945
506128,Musculus subpictus,942
152905,Mendicula ferruginosa,940
140129,Hyala vitrea,939
793,Platyhelminthes,938
131174,Scolelepis korsuni,932
117402,Calycella syringa,930
107302,Ebalia tumefacta,929
862795,Schizomavella (Schizomavella) linearis,928
152267,Malmgrenia marphysae,925
1417307,Papillicardium minimum,921
110427,Pseudocuma,918
103237,Urothoe pulchella,916
107217,Anapagurus hyndmanni,916
131507,Nicolea venustula,915
1133,Tanaidacea,914
145725,Laminaria hyperborea,913
1789,Phoronida,908
1066,Crustacea,906
103862,Botryllus schlosseri,905
129347,Euclymene,905
130926,Manayunkia aestuarina,905
107160,Munida rugosa,903
122388,Tubulanus,901
107239,Pagurus prideaux,898
130523,Orbinia sertulata,897
141134,Retusa obtusa,896
118278,Gnathiidae,895
140264,Littorina saxatilis,888
144743,Cryptopleura ramosa,887
145771,Palmaria palmata,882
141909,Clausinella fasciata,881
148776,Morus bassanus,876
102831,Maerella tenuimana,874
127160,Solea solea,870
129266,Ophryotrocha,869
138262,Nucula,867
130360,Nephtys hystricis,866
141883,Diplodonta rotundata,866
140728,Mysia undata,863
111285,Turbicellepora avicularis,859
130696,Glyphohesione klatti,858
135144,Caryophyllia (Caryophyllia) smithii,857
102064,Argissa hamatipes,854
111350,Aspidelectra melolontha,854
100803,Actinia equina,852
132251,Sycon ciliatum,849
141577,Arcopagia crassa,848
989,Spirorbinae,847
107551,Crangon allmanni,847
140744,Philine aperta,846
101923,Ampelisca sarsi,844
131327,Odontosyllis fulgurans,843
132663,Hymeniacidon perlevis,842
117824,Plumularia setacea,841
102963,Harpinia crenulata,837
103509,Molgula,837
149668,Mysida,836
138751,Pododesmus patelliformis,830
110869,Cellaria,825
131402,Streptosyllis websteri,821
236495,Apolochus neapolitanus,821
130185,Nereimyra punctata,820
123117,Ophiurida,819
107345,Macropodia rostrata,818
141811,Jujubinus montagui,813
146532,Aurospio banyulensis,811
117195,Nemertesia,810
931,Phyllodocidae,808
103718,Ascidiella aspersa,808
103853,Pyura tessellata,807
117815,Nemertesia ramosa,806
205077,Macropodia,806
101888,Ampelisca armoricana,804
140403,Nucella lapillus,804
141424,Scrobicularia plana,804
131160,Prionospio multibranchiata,801
129944,Caulleriella bioculata,800
230,Mactridae,799
129677,Sphaerosyllis,796
129914,Chaetopterus variopedatus,794
110444,Bodotria pulchella,789
130604,Pholoe pallida,789
145650,Mastocarpus stellatus,789
100706,Urticina,788
102408,Ericthonius punctatus,784
105814,Scyliorhinus canicula,782
129413,Ophelia,776
954693,Parathyasira equalis,776
111391,Hagiosynodos latus,768
127190,Agonus cataphractus,768
124670,Thyone fusus,766
2032,Golfingiidae,763
147032,Nebalia bipes,763
111604,Alcyonidium parasiticum,760
181373,Cochlodesma praetenue,759
125027,Ophiocomina nigra,753
129623,Scolelepis,753
117994,Tubularia indivisa,748
131436,Syllis hyalina,748
137128,Alca torda,747
107327,Inachus dorsettensis,745
100982,Metridium senile,744
118842,Conilera cylindracea,741
111706,Crisidia cornuta,740
246148,Hemilepton nitidum,738
23091,Pharidae,737
137141,Larus canus,737
110487,Diastylis rathkei,736
130025,Ophryotrocha hartmanni,734
107507,Eualus pusiolus,733
138211,Mya,733
144847,Osmundea pinnatifida,731
129851,Apistobranchus tullbergi,728
336908,Glycera fallax,728
129249,Tharyx,726
118855,Eurydice truncata,724
129613,Laonice,724
467955,Plagioeciidae,721
101361,Caprellidae,717
131544,Thelepus setosus,717
110618,Leucon (Leucon) nasica,715
103719,Ascidiella scabra,714
111745,Oncousoecia dilatans,714
143996,Cladophora,713
130888,Chone duneri,707
126438,Merlangius merlangus,704
124455,Labidoplax buskii,703
127153,Buglossidium luteum,703
144732,Heterosiphonia plumosa,703
834039,Crisularia plumosa,703
103073,Bathyporeia sarsi,702
129959,Cirratulus cirratus,698
145199,Phymatolithon calcareum,691
111358,Pyripora catenularia,690
118401,Eurydice,688
129426,Myriochele,686
144744,Delesseria sanguinea,684
138223,Modiolus,682
124635,Leptopentacta elongata,681
237004,Crassicorophium bonellii,681
106674,Caridea,679
131504,Neoamphitrite figulus,679
221095,Leiochone johnstoni,676
129620,Prionospio,674
129445,Eulalia,673
111418,Fenestrulina malusii,672
340355,Aricidea (Aricidea) fragilis,669
111082,Pentapora fascialis,668
1039850,Steromphala umbilicalis,667
130464,Hyalinoecia tubicola,665
102012,Aora gracilis,662
102061,Unciola planipes,662
117034,Obelia,662
130540,Myriochele danielsseni,658
123083,Holothuroidea,657
147008,Malmgrenia andreapolis,657
148637,Eurydice spinigera,656
103902,Polycarpa fibrosa,650
106673,Brachyura,650
134643,Callipallene brevirostris,648
127126,Arnoglossus laterna,647
130639,Eulalia viridis,647
152250,Hypereteone foliosa,647
110398,Diastylis,643
195980,Prosphaerosyllis tetralix,643
111719,Plagioecia patina,639
422916,Monopseudocuma gilsoni,639
150630,Echiichthys vipera,638
117386,Obelia dichotoma,636
106854,Pagurus,633
130662,Paranaitis kosteriensis,633
140577,Nuculana minuta,633
130176,Microphthalmus similis,632
110488,Diastylis rugosa,631
559007,Leiochone leiopygos,631
129785,Amphicteis midas,630
129595,Sthenelais,628
495082,Zostera noltei,623
102807,Eriopisa elongata,620
111400,Hippothoa flagellum,620
124462,Leptosynapta bergensis,619
334725,Scalibregma stenocerum,619
129784,Amphicteis gunneri,618
147758,Verrucaria maura,615
110524,Eudorella emarginata,613
160539,Ensis magnus,609
107323,Hyas coarctatus,607
130261,Scoletoma fragilis,607
130343,Aglaophamus agilis,606
140712,Pecten maximus,606
130686,Pterocirrus macroceros,605
139112,Falcidens crossotus,604
126446,Trisopterus minutus,603
137146,Larus marinus,602
141668,Thyasira obsoleta,601
117736,Lovenella clausa,600
130878,Branchiomma bombyx,597
101789,Urothoe,596
132324,Dysidea fragilis,596
124373,Brissopsis lyrifera,595
126752,Ammodytes tobianus,593
130590,Pectinaria (Amphictene) auricoma,593
141365,Rissoa parva,591
236719,Mimachlamys varia,591
101908,Ampelisca macrocephala,590
120203,Schistomysis kervillei,590
152774,Lepidochitona cinerea,590
145547,Fucus spiralis,588
146991,Leiochone,587
110814,Tubuliporidae,585
140528,Euspira catena,579
145724,Laminaria digitata,579
139004,Laevicardium crassum,578
102497,Acidostoma obesum,573
110965,Escharella,573
980,Pectinariidae,572
103909,Polycarpa pomaria,572
238104,Ecrobia ventrosa,572
152272,Ampharete grubei,569
326605,Aricidea (Aricidea) wassi,569
221566,Prenantia cheilostoma,568
867492,Hermania scabra,568
138691,Acteon tornatilis,567
110483,Diastylis lucifera,566
130673,Phyllodoce longipes,566
145541,Ascophyllum nodosum,566
129911,Pseudonotomastus southerni,565
141320,Onoba semicostata,565
131501,Lysilla nivea,564
231751,Halecium halecinum,561
882,Annelida,559
956,Nephtyidae,559
107350,Maja squinado,559
145795,Zostera subg. Zostera marina,559
102795,Cheirocratus intermedius,558
131190,Spiophanes wigleyi,558
129679,Syllides,556
2081,Chaetognatha,554
107518,Hippolyte varians,554
209899,Euclymene lombricoides,554
130113,Pherusa plumosa,553
150225,Amphilectus fucorum,553
946,Hesionidae,552
138824,Astarte sulcata,552
107072,Callianassa,551
103788,Molgula manhattensis,548
138952,Caecum glabrum,547
140291,Lyonsia norwegica,547
247077,Apseudopsis latreillii,546
107651,Pandalus montagui,545
117093,Eudendrium,545
129854,Arabella iricolor,545
145712,Hildenbrandia rubra,543
397383,Crassicorophium crassicorne,542
129358,Notoproctus,541
140513,Nassarius reticulatus,541
145,Naticidae,540
131500,Lysilla loveni,540
334811,Sosane wahrbergi,540
148378,Phoronidae,539
510534,Echinidea,537
236458,Diplecogaster bimaculata bimaculata,532
138312,Patella,530
145821,Lomentaria articulata,528
134581,Callipallene,527
567449,Hydrocoloeus minutus,527
130542,Myriochele heeri,526
130330,Rhodine gracilior,525
467577,Einhornia crustulenta,525
102779,Tryphosites longipes,521
102742,Tmetonyx similis,520
1059646,Centraloecetes kroyeranus,518
156083,Eualus cranchii,515
129313,Microphthalmus,513
130103,Flabelligera affinis,513
238200,Myrianida prolifera,513
863197,Malmgrenia darbouxi,513
129528,Euchone,509
143834,Ceramium,509
100808,Anemonia viridis,508
55,Polyplacophora,507
117228,Diphasia,507
137138,Larus argentatus,506
10194,Actinopterygii,504
106213,Balanus balanus,503
111498,Escharoides coccinea,503
139959,Emarginula fissura,503
102202,Eusirus longipes,500
111690,Crisia aculeata,500
117912,Sertularia argentea,500
123276,Henricia,500
130467,Nothria conchylega,499
243,Veneridae,497
102317,Haustorius arenarius,497
111044,Disporella,497
138552,Thyasira,497
110931,Hippothoa,494
129499,Malmgreniella,493
107218,Anapagurus laevis,492
110494,Diastyloides biplicatus,492
101967,Amphilochus manudens,491
139557,Diaphana minuta,490
156376,Retusa umbilicata,490
130661,Notophyllum foliosum,489
107390,Liocarcinus marmoreus,488
131128,Laonice cirrata,488
110835,Porella,487
967,Lumbrineridae,485
131121,Dipolydora quadrilobata,485
128539,Virgularia mirabilis,484
129433,Paradoneis,484
631828,Vertebrata byssoides,482
102021,Autonoe longipes,481
11676,Pisces,480
145722,Chorda filum,480
145660,Phyllophora crispa,477
594957,Nematonereis unicornis,476
125537,Gobiidae,475
126756,Hyperoplus lanceolatus,475
334508,Phyllodoce lineata,474
125999,Pomatoschistus,473
130837,Protodriloides chaetifer,473
138749,Heteranomia squamula,473
145064,Cladophora rupestris,473
333954,Malacoceros tetracerus,470
111721,Plagioecia sarniensis,467
140736,Pharus legumen,466
953,Goniadidae,465
101537,Gammarus,464
102917,Pontocrates arcticus,462
156905,Procladius,462
123803,Marthasterias glacialis,460
110628,Pseudocuma (Pseudocuma) simile,459
138117,Leptochiton,459
107562,Philocheras trispinosus,458
130055,Eunice dubitata,458
102466,Leucothoe procera,457
125166,Porania (Porania) pulvillus,457
102462,Leucothoe lilljeborgi,456
130690,Sige fusigera,456
131155,Prionospio dubia,456
110806,Crisiidae,453
129614,Malacoceros,453
146951,Galathowenia fragilis,453
141916,Gouldia minima,452
127259,Chelidonichthys cuculus,451
145550,Pelvetia canaliculata,451
2104,Myodocopida,449
102039,Leptocheirus pectinatus,447
126928,Pomatoschistus minutus,447
181343,Parvicardium pinnulatum,447
103710,Ascidia mentula,446
111397,Celleporella hyalina,446
130137,Goniada emerita,445
138533,Tellina,444
129775,Ampharete acutifrons,443
1806,Echinodermata,440
111280,Lagenipora lepralioides,440
140461,Modiolula phaseolina,440
100994,Sagartia troglodytes,439
130507,Ophelina modesta,439
148698,Haplostylus normani,437
152424,Mendicula pygmaea,435
131480,Amphitritides gracilis,434
140462,Modiolus adriaticus,433
130075,Marphysa sanguinea,431
117888,Dynamena pumila,430
147007,Malmgrenia mcintoshi,430
101471,Microdeutopus,429
489646,Dyopedos monacanthus,429
152274,Nucula turgida,428
137080,Halichoerus grypus,427
129615,Marenzelleria,425
